instance_path,meta_scale,meta_scenario,meta_seed,meta_n_orders,time_limit_s,ship_window,run_status,run_elapsed_s,data_dir,out_dir,run_error,status,objective,horizon_days,num_units,num_operations
small/tight_delivery/I004,small,tight_delivery,1023,10,300,2,ok,1.106904,/home/fran/Descargas/sarteco-planner-main/data/benchmark/sarteco_synth_v1/small/tight_delivery/I004,/home/fran/Descargas/sarteco-planner-main/results/sarteco_synth_v1/small/tight_delivery/I004,,INFEASIBLE,,34,25,100
small/tight_delivery/I005,small,tight_delivery,1024,10,300,2,ok,0.931366,/home/fran/Descargas/sarteco-planner-main/data/benchmark/sarteco_synth_v1/small/tight_delivery/I005,/home/fran/Descargas/sarteco-planner-main/results/sarteco_synth_v1/small/tight_delivery/I005,,INFEASIBLE,,35,22,88
small/tight_delivery/I006,small,tight_delivery,1025,10,300,2,ok,0.859851,/home/fran/Descargas/sarteco-planner-main/data/benchmark/sarteco_synth_v1/small/tight_delivery/I006,/home/fran/Descargas/sarteco-planner-main/results/sarteco_synth_v1/small/tight_delivery/I006,,INFEASIBLE,,33,21,84
small/tight_delivery/I007,small,tight_delivery,1026,10,300,2,ok,1.061502,/home/fran/Descargas/sarteco-planner-main/data/benchmark/sarteco_synth_v1/small/tight_delivery/I007,/home/fran/Descargas/sarteco-planner-main/results/sarteco_synth_v1/small/tight_delivery/I007,,INFEASIBLE,,35,24,96
small/tight_delivery/I008,small,tight_delivery,1027,10,300,2,ok,1.367058,/home/fran/Descargas/sarteco-planner-main/data/benchmark/sarteco_synth_v1/small/tight_delivery/I008,/home/fran/Descargas/sarteco-planner-main/results/sarteco_synth_v1/small/tight_delivery/I008,,INFEASIBLE,,35,29,116
small/tight_delivery/I009,small,tight_delivery,1028,10,300,2,ok,1.097156,/home/fran/Descargas/sarteco-planner-main/data/benchmark/sarteco_synth_v1/small/tight_delivery/I009,/home/fran/Descargas/sarteco-planner-main/results/sarteco_synth_v1/small/tight_delivery/I009,,INFEASIBLE,,35,25,100
small/tight_delivery/I010,small,tight_delivery,1029,10,300,2,ok,1.03306,/home/fran/Descargas/sarteco-planner-main/data/benchmark/sarteco_synth_v1/small/tight_delivery/I010,/home/fran/Descargas/sarteco-planner-main/results/sarteco_synth_v1/small/tight_delivery/I010,,INFEASIBLE,,34,24,96
small/tight_delivery/I011,small,tight_delivery,1030,10,300,2,ok,1.05866,/home/fran/Descargas/sarteco-planner-main/data/benchmark/sarteco_synth_v1/small/tight_delivery/I011,/home/fran/Descargas/sarteco-planner-main/results/sarteco_synth_v1/small/tight_delivery/I011,,INFEASIBLE,,35,24,96
small/tight_delivery/I012,small,tight_delivery,1031,10,300,2,ok,1.286388,/home/fran/Descargas/sarteco-planner-main/data/benchmark/sarteco_synth_v1/small/tight_delivery/I012,/home/fran/Descargas/sarteco-planner-main/results/sarteco_synth_v1/small/tight_delivery/I012,,INFEASIBLE,,32,29,116
small/tight_delivery/I013,small,tight_delivery,1032,10,300,2,ok,1.130555,/home/fran/Descargas/sarteco-planner-main/data/benchmark/sarteco_synth_v1/small/tight_delivery/I013,/home/fran/Descargas/sarteco-planner-main/results/sarteco_synth_v1/small/tight_delivery/I013,,INFEASIBLE,,33,26,104
