instance_path,meta_scale,meta_scenario,meta_seed,meta_n_orders,time_limit_s,ship_window,storage,staff_factor,run_status,run_error,run_elapsed_s,status,objective,horizon_days,num_units,num_operations
medium/baseline/I002,medium,baseline,1061,20,300,5,20,1.0,ok,,6.675002,INFEASIBLE,,60,71,284
medium/baseline/I002,medium,baseline,1061,20,300,5,20,1.2,ok,,6.689623,INFEASIBLE,,60,71,284
medium/baseline/I002,medium,baseline,1061,20,300,5,50,0.8,ok,,6.705908,INFEASIBLE,,60,71,284
medium/baseline/I002,medium,baseline,1061,20,300,5,50,1.0,ok,,6.685372,INFEASIBLE,,60,71,284
medium/baseline/I002,medium,baseline,1061,20,300,5,50,1.2,ok,,6.761937,INFEASIBLE,,60,71,284
medium/baseline/I003,medium,baseline,1062,20,300,0,5,0.8,ok,,5.082039,INFEASIBLE,,58,60,240
medium/baseline/I003,medium,baseline,1062,20,300,0,5,1.0,ok,,5.041206,INFEASIBLE,,58,60,240
medium/baseline/I003,medium,baseline,1062,20,300,0,5,1.2,ok,,5.010304,INFEASIBLE,,58,60,240
medium/baseline/I003,medium,baseline,1062,20,300,0,10,0.8,ok,,5.048725,INFEASIBLE,,58,60,240
medium/baseline/I003,medium,baseline,1062,20,300,0,10,1.0,ok,,5.016226,INFEASIBLE,,58,60,240
medium/baseline/I003,medium,baseline,1062,20,300,0,10,1.2,ok,,5.05363,INFEASIBLE,,58,60,240
medium/baseline/I003,medium,baseline,1062,20,300,0,20,0.8,ok,,4.979064,INFEASIBLE,,58,60,240
medium/baseline/I003,medium,baseline,1062,20,300,0,20,1.0,ok,,5.038676,INFEASIBLE,,58,60,240
medium/baseline/I003,medium,baseline,1062,20,300,0,20,1.2,ok,,5.077108,INFEASIBLE,,58,60,240
medium/baseline/I003,medium,baseline,1062,20,300,0,50,0.8,ok,,5.023661,INFEASIBLE,,58,60,240
medium/baseline/I003,medium,baseline,1062,20,300,0,50,1.0,ok,,5.050155,INFEASIBLE,,58,60,240
medium/baseline/I003,medium,baseline,1062,20,300,0,50,1.2,ok,,5.193317,INFEASIBLE,,58,60,240
medium/baseline/I003,medium,baseline,1062,20,300,2,5,0.8,ok,,5.343197,INFEASIBLE,,58,60,240
medium/baseline/I003,medium,baseline,1062,20,300,2,5,1.0,ok,,5.351774,INFEASIBLE,,58,60,240
medium/baseline/I003,medium,baseline,1062,20,300,2,5,1.2,ok,,5.310842,INFEASIBLE,,58,60,240
medium/baseline/I003,medium,baseline,1062,20,300,2,10,0.8,ok,,5.327838,INFEASIBLE,,58,60,240
medium/baseline/I003,medium,baseline,1062,20,300,2,10,1.0,ok,,5.293425,INFEASIBLE,,58,60,240
medium/baseline/I003,medium,baseline,1062,20,300,2,10,1.2,ok,,5.126331,INFEASIBLE,,58,60,240
medium/baseline/I003,medium,baseline,1062,20,300,2,20,0.8,ok,,5.113412,INFEASIBLE,,58,60,240
medium/baseline/I003,medium,baseline,1062,20,300,2,20,1.0,ok,,5.157036,INFEASIBLE,,58,60,240
medium/baseline/I003,medium,baseline,1062,20,300,2,20,1.2,ok,,5.127249,INFEASIBLE,,58,60,240
medium/baseline/I003,medium,baseline,1062,20,300,2,50,0.8,ok,,5.099274,INFEASIBLE,,58,60,240
medium/baseline/I003,medium,baseline,1062,20,300,2,50,1.0,ok,,5.145002,INFEASIBLE,,58,60,240
medium/baseline/I003,medium,baseline,1062,20,300,2,50,1.2,ok,,5.159639,INFEASIBLE,,58,60,240
medium/baseline/I003,medium,baseline,1062,20,300,5,5,0.8,ok,,5.143695,INFEASIBLE,,58,60,240
medium/baseline/I003,medium,baseline,1062,20,300,5,5,1.0,ok,,5.12849,INFEASIBLE,,58,60,240
medium/baseline/I003,medium,baseline,1062,20,300,5,5,1.2,ok,,5.182023,INFEASIBLE,,58,60,240
medium/baseline/I003,medium,baseline,1062,20,300,5,10,0.8,ok,,5.091377,INFEASIBLE,,58,60,240
medium/baseline/I003,medium,baseline,1062,20,300,5,10,1.0,ok,,5.101435,INFEASIBLE,,58,60,240
medium/baseline/I003,medium,baseline,1062,20,300,5,10,1.2,ok,,5.15327,INFEASIBLE,,58,60,240
medium/baseline/I003,medium,baseline,1062,20,300,5,20,0.8,ok,,5.111312,INFEASIBLE,,58,60,240
medium/baseline/I003,medium,baseline,1062,20,300,5,20,1.0,ok,,5.142294,INFEASIBLE,,58,60,240
medium/baseline/I003,medium,baseline,1062,20,300,5,20,1.2,ok,,5.148818,INFEASIBLE,,58,60,240
medium/baseline/I003,medium,baseline,1062,20,300,5,50,0.8,ok,,5.092108,INFEASIBLE,,58,60,240
medium/baseline/I003,medium,baseline,1062,20,300,5,50,1.0,ok,,5.178507,INFEASIBLE,,58,60,240
medium/baseline/I003,medium,baseline,1062,20,300,5,50,1.2,ok,,5.104669,INFEASIBLE,,58,60,240
medium/baseline/I004,medium,baseline,1063,20,300,0,5,0.8,ok,,5.908493,INFEASIBLE,,58,67,268
medium/baseline/I004,medium,baseline,1063,20,300,0,5,1.0,ok,,5.897943,INFEASIBLE,,58,67,268
medium/baseline/I004,medium,baseline,1063,20,300,0,5,1.2,ok,,5.861382,INFEASIBLE,,58,67,268
